ID_IPEDS,YEAR,ENROLL_FTUG,GRANT_FEDERAL,GRANT_STATE,NETPRICE,PUBLIC,DEGREE_BACH,TYPE,TN_PROMISE
220127,2015,733,1634894,779075,8963,1,0,two-year public,1
220163,2010,34,75583,0,10493,0,0,two-year private,0
220163,2011,39,109273,0,11031,0,0,two-year private,0
220163,2012,22,35337,0,12909,0,0,two-year private,0
220163,2013,32,90326,0,13885,0,0,two-year private,0
220163,2014,19,44003,0,12592,0,0,two-year private,0
220163,2015,24,66795,0,14153,0,0,two-year private,1
220181,2010,194,589785,219500,18718,0,1,four-year private,0
220181,2011,122,388707,100000,19632,0,1,four-year private,0
220181,2012,221,704236,220500,19460,0,1,four-year private,0
220181,2013,217,615251,192500,19831,0,1,four-year private,0
220181,2014,221,649257,153047,20719,0,1,four-year private,0
220181,2015,208,606819,138812,17980,0,1,four-year private,1
220206,2010,44,65060,60000,15304,0,1,four-year private,0
220206,2011,54,128018,49000,13736,0,1,four-year private,0
220206,2012,60,133507,99500,16252,0,1,four-year private,0
220206,2013,62,179553,69500,16446,0,1,four-year private,0
220206,2014,51,119460,32100,20463,0,1,four-year private,0
220206,2015,44,98835,56182,20236,0,1,four-year private,1
220215,2010,371,829424,985300,16821,0,1,four-year private,0
220215,2011,384,762226,979027,16257,0,1,four-year private,0
220215,2012,321,496715,780875,18966,0,1,four-year private,0
220215,2013,355,577249,908517,16851,0,1,four-year private,0
220215,2014,340,504746,659734,16754,0,1,four-year private,0
220215,2015,292,502873,705308,16492,0,1,four-year private,1
220251,2010,341,749483,386688,9727,1,0,two-year public,0
220251,2011,323,756677,329440,10424,1,0,two-year public,0
220251,2012,366,688600,305252,9416,1,0,two-year public,0
220251,2013,380,813570,312900,9987,1,0,two-year public,0
220251,2014,301,639052,295858,10224,1,0,two-year public,0
220251,2015,293,590397,400364,9439,1,0,two-year public,1
220279,2010,317,429325,298224,6487,1,0,two-year public,0
220279,2011,323,449173,248045,6805,1,0,two-year public,0
220279,2012,277,461215,312603,6553,1,0,two-year public,0
220279,2013,237,358543,229700,8342,1,0,two-year public,0
220279,2014,296,463644,286304,8873,1,0,two-year public,0
220279,2015,312,450858,445423,5938,1,0,two-year public,1
220312,2010,57,179518,62425,13719,0,1,four-year private,0
220312,2011,79,307876,141375,14703,0,1,four-year private,0
220312,2012,88,280206,202195,15123,0,1,four-year private,0
220312,2013,82,249904,204561,12198,0,1,four-year private,0
220312,2014,83,319429,220200,10141,0,1,four-year private,0
220312,2015,91,254768,214259,14466,0,1,four-year private,1
220321,2010,471,564507,398170,11139,1,0,two-year public,0
220321,2011,445,499119,15447,9890,1,0,two-year public,0
220321,2012,273,718606,302469,9735,1,0,two-year public,0
220321,2013,243,898698,310329,9547,1,0,two-year public,0
220321,2014,398,1314323,528067,10437,1,0,two-year public,0
220321,2015,403,1034170,538679,12308,1,0,two-year public,1
220394,2010,83,389950,101039,8139,1,0,two-year public,0
220394,2011,105,470245,203000,4450,1,0,two-year public,0
220394,2012,95,427830,178000,7032,1,0,two-year public,0
220394,2013,93,473294,189000,5267,1,0,two-year public,0
220394,2014,70,362264,131240,7630,1,0,two-year public,0
220394,2015,109,313022,188363,6888,1,0,two-year public,1
220400,2010,1013,3334073,998248,9959,1,0,two-year public,0
220400,2011,985,2903635,1169407,9647,1,0,two-year public,0
220400,2012,792,2339037,1151230,9107,1,0,two-year public,0
220400,2013,748,2247325,1022402,9033,1,0,two-year public,0
220400,2014,783,2347677,1279609,8987,1,0,two-year public,0
220400,2015,1039,2932235,2792333,7383,1,0,two-year public,1
220464,2010,19,30470,15745,14822,0,0,two-year private,0
220464,2011,17,39050,31245,19070,0,0,two-year private,0
220464,2012,18,53588,31884,10382,0,0,two-year private,0
220464,2013,21,36128,17925,11529,0,0,two-year private,0
220464,2014,11,25730,32480,12229,0,0,two-year private,0
220464,2015,15,34195,66616,5831,0,0,two-year private,1
220473,2010,157,360206,291819,12887,0,1,four-year private,0
220473,2011,156,344151,147000,13391,0,1,four-year private,0
220473,2012,179,356524,175000,13417,0,1,four-year private,0
220473,2013,162,381463,302146,12546,0,1,four-year private,0
220473,2014,187,355043,205426,15458,0,1,four-year private,0
220473,2015,174,281897,187481,16368,0,1,four-year private,1
220491,2010,190,586754,0,12992,0,0,two-year private,0
220491,2011,27,71983,0,15011,0,0,two-year private,0
220491,2012,10,46125,0,13785,0,0,two-year private,0
